SA1_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
80101100101,6,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,6,0,0,0,6,0,0,0,11,3,9,0,0,4,0,0,0,0,20,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,26,0,0,10,6,0,0,0,46,0,9,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,4,4,0,0,4,8,0,0,0,20,15,17,0,0,4,0,0,0,0,33,5,5,0,0,0,0,0,0,0,9
80101100102,3,10,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,7,4,5,0,0,0,0,0,0,0,14,3,9,0,0,3,0,0,0,0,15,3,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,46,0,0,12,0,0,0,0,80,7,17,0,0,4,0,0,0,0,23,7,10,0,0,0,0,0,0,0,18,0,6,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,16,0,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,12,13,7,0,0,4,0,0,0,0,24,12,18,0,4,4,0,0,0,0,29,3,0,0,0,5,0,0,0,0,8
80101100103,3,9,0,0,0,0,0,0,0,11,0,10,3,3,0,0,0,0,0,16,11,8,0,3,4,0,0,3,0,27,6,5,0,0,5,3,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,35,4,15,10,8,0,4,3,89,0,10,0,0,0,0,0,0,0,13,5,7,0,0,0,3,0,0,0,11,6,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,17,0,0,0,0,0,0,0,19,0,11,3,6,0,0,0,0,0,24,12,12,5,3,4,0,0,10,3,41,5,19,0,0,5,3,0,0,3,38,0,3,0,0,0,0,0,0,0,10
80101100104,0,7,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,10,5,3,0,3,0,7,0,0,0,13,7,15,0,6,0,0,0,0,0,29,0,6,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,52,0,7,6,7,0,0,0,110,8,12,4,0,0,0,0,0,0,21,6,3,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,15,5,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,19,11,11,0,4,4,7,0,0,0,26,17,26,0,5,6,0,0,0,0,54,0,10,3,0,0,6,0,0,0,24
80101100105,0,15,0,4,3,0,0,0,0,16,0,5,0,0,0,0,0,0,0,14,9,6,0,0,3,0,0,0,0,25,4,16,0,0,3,0,0,0,0,24,0,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,57,3,8,15,4,0,0,5,111,15,12,0,0,0,0,0,0,0,27,4,6,4,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,8,0,14,0,4,3,0,0,0,0,16,0,10,0,0,0,0,0,0,0,9,18,10,0,0,0,0,0,0,3,39,14,37,0,0,5,0,0,0,4,58,0,10,5,0,4,0,0,0,0,10
80101100106,5,7,0,0,0,0,0,0,0,5,10,6,0,0,0,0,0,0,0,17,10,7,0,0,4,0,0,0,0,22,5,20,0,4,0,0,0,0,0,39,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,47,0,6,10,0,0,0,0,105,0,7,0,0,0,0,0,0,0,12,3,10,0,0,0,0,0,0,0,13,3,4,4,0,0,0,0,0,0,14,6,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,17,11,7,0,0,0,0,0,0,0,23,17,11,0,0,3,0,0,3,0,39,9,31,0,4,3,0,0,0,0,59,8,3,0,0,0,0,0,0,0,13
80101100201,0,11,0,6,0,0,0,0,0,14,0,3,0,3,0,0,0,0,0,9,3,8,0,7,3,0,0,0,0,18,3,8,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,3,24,7,5,0,3,0,78,0,5,0,6,0,0,0,0,0,8,3,6,6,0,0,3,0,0,0,22,4,7,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,22,0,7,0,3,0,0,0,0,0,11,10,11,0,9,8,0,0,5,0,38,11,16,0,7,7,0,0,3,0,37,0,3,0,3,0,0,0,0,0,13
80101100202,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6,4,0,0,0,13,6,12,0,5,3,3,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,11,21,4,20,13,7,0,4,0,74,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,17,0,4,0,0,0,0,5,7,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,16,0,5,0,5,3,0,0,0,0,14,4,3,0,4,7,3,0,0,0,26,8,13,0,8,8,3,0,0,0,37,0,0,0,0,0,0,0,0,0,7
80101100203,0,23,3,11,0,6,0,0,0,42,0,10,0,4,5,0,0,0,0,18,8,13,0,18,6,8,0,3,5,54,17,25,0,4,10,3,0,5,0,59,0,5,0,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,25,99,6,44,28,16,0,12,4,235,7,7,0,0,3,0,0,0,0,24,0,23,7,8,0,10,0,4,0,55,4,13,3,3,4,3,0,4,0,35,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,32,3,10,5,6,0,0,0,58,4,10,0,4,5,0,0,0,0,22,18,24,3,20,15,15,3,7,5,107,19,48,0,10,20,3,0,5,0,104,0,9,0,6,0,0,0,0,0,20
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,8,0,11,0,0,0,0,0,16,0,8,0,3,0,0,0,0,0,10,6,0,0,5,5,0,0,0,0,16,5,12,3,3,6,0,0,0,0,33,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21,39,3,26,19,0,0,0,0,106,0,9,0,0,0,0,0,0,0,16,5,0,0,5,0,0,0,0,0,12,4,3,3,0,0,3,4,0,0,17,0,0,7,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,12,0,14,0,11,0,0,0,0,0,28,0,9,0,3,0,0,0,0,0,12,4,8,4,8,6,4,0,0,0,35,9,21,0,12,10,0,0,0,0,49,0,5,0,0,0,0,0,0,0,8
80101100209,0,0,0,4,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,5,4,0,4,5,0,0,3,0,17,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,6,3,3,0,8,0,54,0,5,4,0,0,0,0,0,0,4,0,0,7,0,0,0,0,4,0,16,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,4,5,8,3,8,5,5,4,5,0,24,3,11,0,5,0,0,0,8,3,25,0,0,0,0,0,0,0,0,0,7
80101100210,0,8,0,3,6,0,0,0,0,20,6,4,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,13,3,12,0,4,5,0,0,0,0,23,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,3,10,13,4,0,4,4,77,0,4,0,0,0,0,0,0,0,13,3,5,0,0,0,0,0,0,0,17,5,3,4,0,3,0,0,0,0,12,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,9,0,8,6,0,0,0,0,21,3,7,0,0,0,0,0,0,0,12,3,9,0,5,5,0,0,0,0,25,7,16,0,4,6,0,0,0,0,31,0,3,0,0,0,0,0,0,0,7
80101100211,0,8,0,5,0,0,0,0,0,20,0,6,0,0,4,0,0,0,0,13,5,4,0,5,6,5,0,0,0,29,8,12,0,4,6,0,0,0,0,28,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,16,44,5,21,21,13,0,5,3,125,0,6,4,0,0,0,0,0,0,10,5,9,0,5,9,10,0,3,0,41,5,4,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,0,16,0,5,0,0,0,0,0,24,0,13,0,0,4,0,0,0,0,15,11,12,7,17,8,7,0,0,0,67,8,22,4,4,11,0,0,0,0,51,4,4,0,0,0,0,0,0,0,12
80101100212,0,6,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,11,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,4,14,4,0,0,0,55,0,4,0,0,0,0,0,0,0,7,7,13,0,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,9,8,5,0,0,7,0,0,0,0,22,3,15,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3
80101100213,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
80101100215,0,17,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,0,9,9,16,0,4,13,3,0,0,0,53,0,11,0,4,7,3,0,0,0,34,0,0,0,0,4,0,0,0,0,8,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,71,8,23,26,13,0,0,4,152,0,11,0,0,4,0,0,0,0,12,13,18,6,5,3,3,0,0,0,43,0,3,11,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22,0,0,5,0,0,0,0,29,0,11,0,0,5,0,0,0,0,19,18,30,5,9,22,6,0,0,0,87,11,25,4,7,12,4,0,0,0,64,0,0,0,0,0,5,0,0,0,14
80101100216,0,22,0,17,4,0,0,0,0,40,0,15,0,7,0,5,0,0,0,28,14,25,3,17,21,21,0,7,4,125,10,18,0,12,14,4,0,0,0,65,0,11,0,3,5,5,0,0,0,23,0,0,6,3,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,9,45,127,25,69,56,56,0,16,10,407,4,11,0,0,0,4,3,0,0,26,7,55,9,18,10,25,5,9,5,141,4,25,11,5,7,5,7,5,4,64,0,6,14,0,0,0,0,5,0,34,0,4,0,0,0,0,0,0,0,8,3,35,3,22,4,0,0,0,0,69,0,16,0,5,0,5,0,0,0,31,37,51,13,27,35,31,15,17,9,226,18,34,7,17,21,6,3,8,0,110,0,18,8,3,5,3,0,0,4,40
80101100217,0,9,0,4,0,3,0,0,0,17,0,3,0,6,0,0,0,0,0,5,5,6,0,10,4,3,0,0,0,36,0,9,0,8,4,3,0,0,4,26,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,3,28,17,4,0,7,10,111,0,8,0,0,0,0,0,0,0,8,0,15,13,4,3,3,3,4,0,42,4,3,5,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,3,0,3,0,0,0,20,0,6,0,9,0,0,0,0,0,9,6,11,0,18,6,3,6,4,0,57,6,18,0,6,10,0,0,0,4,48,0,4,0,0,0,0,0,0,0,10
80101100218,0,9,0,8,0,5,0,0,0,24,0,4,0,0,0,0,0,0,0,13,11,14,0,4,19,9,0,0,0,54,4,12,0,4,7,6,0,0,0,34,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,57,4,26,27,21,0,5,5,172,0,15,0,5,0,5,0,0,0,27,4,24,7,9,3,5,4,3,0,49,3,11,8,0,0,0,0,4,0,30,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,17,4,8,0,5,0,0,0,31,0,14,0,0,0,0,0,0,0,21,11,30,4,4,21,13,4,0,0,84,12,29,3,6,17,6,0,0,0,67,3,0,0,0,0,0,0,0,0,10
80101100219,0,5,0,4,5,4,0,0,0,14,0,6,0,0,0,0,0,0,0,10,3,14,0,8,11,4,0,7,0,37,4,19,0,3,7,0,0,0,0,38,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,56,10,16,22,3,0,6,0,121,0,10,5,0,0,0,0,0,0,18,0,22,0,0,0,0,0,0,0,24,0,7,5,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,0,6,5,3,0,0,0,29,0,3,0,0,0,0,0,0,0,10,8,25,3,11,10,7,0,4,0,73,8,25,0,15,12,0,0,3,0,62,3,3,0,0,5,0,0,0,0,15
80101100220,0,4,0,5,0,0,0,0,0,10,0,3,0,3,0,0,0,0,0,7,4,4,0,0,0,0,0,4,0,15,3,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,20,9,0,0,0,0,70,0,3,0,0,0,0,0,0,0,5,0,8,4,0,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,7,0,0,0,0,0,19,0,3,0,3,0,0,0,0,0,12,6,12,3,6,4,0,0,4,0,30,6,9,0,0,6,0,0,0,0,27,0,4,0,0,0,0,0,0,0,7
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,3,8,0,3,0,0,0,0,0,21,0,3,0,3,0,0,0,0,0,4,6,14,0,3,9,3,0,3,0,52,8,9,0,10,3,0,0,0,0,40,3,3,0,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,8,28,24,7,0,7,3,150,0,4,0,0,4,0,0,0,0,12,4,20,5,4,6,5,0,0,0,40,3,13,3,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,5,24,0,3,0,0,0,0,0,37,4,3,0,8,0,0,0,0,0,10,17,28,4,5,25,9,0,8,4,98,11,30,0,17,10,5,0,0,0,70,5,5,4,5,3,0,0,0,0,16
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100224,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,13,0,0,0,41,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,11,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,4,5,0,4,0,0,0,16,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
