SA1_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
80101100101,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,6,3,0,3,0,0,0,19,0,0,0,5,5,4,3,0,19,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,13,16,15,7,5,3,73,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,6,3,0,4,0,0
80101100102,0,0,4,3,3,3,3,0,22,0,0,9,4,0,0,0,0,18,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,8,0,0,4,6,0,0,0,0,13,0,0,0,3,10,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,14,12,14,16,27,25,15,11,0,121,0,0,3,4,0,5,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,19,0,0,0,3,0,3,4,0,12,0,4
80101100103,0,0,0,3,3,0,0,0,16,3,5,5,0,0,0,0,0,12,0,0,7,0,4,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,5,0,4,0,0,0,8,0,0,3,0,0,0,0,0,6,0,14,8,3,3,0,0,0,27,0,0,10,4,7,0,0,0,19,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,40,11,20,9,0,0,115,0,3,7,3,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,4,4,0,0,19,0,0,5,4,0,4,0,0,18,0,15
80101100104,0,9,4,0,4,8,4,0,31,0,8,0,4,6,0,0,0,11,0,4,3,4,6,0,0,0,20,0,3,4,0,5,0,0,0,11,0,0,0,0,0,0,4,0,11,0,4,4,0,0,0,0,0,7,0,0,0,3,6,0,0,0,7,0,0,4,3,0,0,0,0,12,5,0,8,4,7,8,5,0,38,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,11,28,27,25,34,19,18,3,161,0,0,0,5,5,3,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,15,0,4,6,0,4,4,0,0,18,0,7
80101100105,0,0,3,4,5,5,4,3,26,3,0,9,4,3,0,0,0,16,0,5,0,4,0,3,3,6,18,0,0,3,0,5,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,4,0,4,5,0,0,23,0,10,4,12,7,10,8,0,48,0,3,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,9,20,30,35,30,21,26,6,178,0,0,0,13,7,0,0,0,27,0,0,4,0,0,0,0,0,5,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,7,4,6,3,0,3,26,0,3,0,0,0,4,5,0,25,0,0
80101100106,0,0,0,0,0,6,0,0,10,0,0,4,0,3,0,0,0,15,0,3,3,4,0,3,6,0,22,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,5,0,0,0,9,0,4,0,7,3,4,3,0,29,0,6,8,8,5,3,7,0,34,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,9,6,29,28,27,28,19,19,3,152,0,3,5,0,4,0,0,0,9,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,3,4,3,0,0,14,0,0,6,6,7,6,0,0,22,0,3
80101100201,0,3,6,0,0,0,0,0,13,0,4,11,4,0,0,0,0,23,3,5,0,4,0,0,0,0,17,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,3,7,4,4,0,0,0,0,18,0,7,6,0,7,0,0,0,23,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,5,3,0,3,0,0,16,15,48,38,19,10,6,5,0,128,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,5,0,0,24,0,0,0,5,3,0,6,0,15,4,17
80101100202,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,12,0,6,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,13,0,9,3,5,0,0,0,0,21,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,10,35,29,16,3,3,7,0,94,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,13,0,0,3,0,4,6,0,0,14,0,12
80101100203,4,8,4,3,0,0,0,0,17,7,24,10,0,0,0,0,0,45,0,19,3,0,3,0,0,0,36,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,11,3,4,0,0,0,0,17,0,0,4,0,0,0,0,0,4,8,36,8,7,0,0,0,0,61,7,22,14,8,0,5,0,0,46,0,4,6,0,0,0,0,0,8,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,17,27,130,64,26,9,6,3,3,266,0,14,6,0,0,0,0,0,16,3,9,3,0,0,0,0,0,20,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,20,18,5,0,3,0,0,0,49,0,11,0,0,0,3,0,0,23,7,31
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,3,6,0,0,0,0,0,12,0,3,0,9,0,3,0,0,16,0,5,3,8,0,0,0,0,11,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,8,3,5,8,3,0,0,0,0,23,0,4,8,6,4,5,0,0,20,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,8,32,27,21,13,11,0,0,118,0,3,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,4,8,6,3,6,0,0,0,23,0,4,4,0,0,3,0,0,14,0,6
80101100209,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,12,0,5,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,4,0,0,0,0,0,0,12,3,7,3,6,0,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,0,0,0,12,8,32,18,8,6,3,0,0,80,0,7,0,0,0,0,0,0,7,0,4,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,10
80101100210,0,4,0,0,0,0,0,0,5,0,8,10,3,3,0,0,0,20,0,4,0,3,0,3,8,0,18,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,9,0,5,5,0,5,0,3,0,17,3,8,6,4,0,0,0,0,17,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,8,3,30,24,21,14,11,14,0,124,0,7,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,4,0,0,22,0,0,3,5,0,3,4,0,15,0,0
80101100211,0,6,0,3,0,0,0,0,11,7,20,10,0,0,0,0,0,33,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,7,0,0,4,0,0,0,9,0,3,0,0,0,0,0,0,5,0,28,14,0,0,0,0,0,41,0,10,8,5,4,0,0,0,32,0,0,0,6,0,0,0,0,11,0,3,5,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,6,3,0,0,0,0,13,15,91,42,26,13,3,0,0,193,4,0,0,0,0,0,0,0,5,7,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,6,0,0,0,0,24,3,10,8,0,0,4,0,0,22,0,23
80101100212,0,0,0,0,0,0,5,5,14,0,9,4,0,0,0,0,0,20,0,3,0,0,0,3,5,17,35,0,0,4,0,0,5,0,0,8,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,5,0,0,0,4,0,0,19,0,4,4,4,0,0,6,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,13,6,26,20,10,7,20,39,41,164,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,9,5,29,0,0,0,3,0,4,10,11,35,0,0
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
80101100215,0,0,4,0,0,0,0,0,11,4,30,3,0,0,0,0,0,40,0,12,3,3,0,0,0,0,22,0,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,10,5,27,11,5,0,0,0,0,52,4,21,11,5,0,0,0,0,33,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,13,19,134,37,9,9,3,5,0,213,3,5,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,16,0,3,0,0,0,0,25,0,5,3,0,0,4,0,0,13,11,42
80101100216,5,10,0,0,0,0,0,0,17,33,78,5,3,5,0,0,0,116,6,44,9,0,0,0,0,0,59,6,16,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,5,3,14,0,4,0,0,0,0,21,0,3,0,0,0,0,0,0,4,18,82,14,3,0,6,0,0,122,10,34,9,6,0,0,0,0,51,4,12,0,0,0,0,0,0,18,0,18,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,8,3,0,0,0,0,0,11,20,38,5,6,0,0,0,0,63,103,343,51,27,10,4,0,0,538,6,8,3,0,0,0,0,0,16,22,35,0,0,0,0,0,0,56,0,12,3,0,0,0,0,0,17,0,12,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,6,13,37,0,0,0,0,0,0,54,6,22,0,0,3,0,0,0,36,32,118
80101100217,0,8,5,0,0,0,0,0,11,7,25,7,0,4,0,0,0,43,0,7,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,3,0,0,0,0,0,22,5,9,6,4,0,0,0,0,21,0,4,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,3,0,0,0,17,10,81,26,15,14,11,4,0,157,0,0,0,0,4,0,4,0,5,4,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4,0,3,0,0,0,21,0,0,4,0,0,3,0,0,10,7,19
80101100218,0,12,3,5,0,0,0,0,15,4,21,14,0,6,0,0,0,42,0,18,6,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,6,3,14,9,3,0,0,0,0,38,5,18,11,0,0,0,0,0,40,6,5,0,6,0,0,0,0,8,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,16,22,108,50,12,9,3,0,0,204,5,10,0,0,4,0,0,0,14,0,13,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,15,3,3,0,0,0,0,30,0,5,7,4,0,0,0,0,13,0,33
80101100219,4,3,3,0,4,0,0,0,7,3,13,3,0,0,0,0,0,20,0,4,6,0,0,0,0,0,14,0,7,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,27,5,0,0,0,0,0,33,7,17,7,0,3,0,0,0,29,0,4,5,0,0,0,0,0,8,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,10,19,97,33,7,14,0,0,0,164,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,14,0,3,3,0,0,0,0,0,7,6,28
80101100220,0,3,5,0,0,0,0,0,4,0,6,7,0,0,0,0,0,18,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,14,0,0,5,0,0,0,0,0,12,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,34,29,8,0,0,0,0,77,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,11,7,0,3,0,0,0,0,0,9,6,7
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,9,0,5,0,0,0,0,0,10,8,14,10,4,0,0,0,0,39,3,12,3,5,0,0,0,0,22,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,17,0,5,0,0,0,0,0,0,7,5,28,19,7,3,0,0,0,64,3,13,8,0,0,0,0,0,38,0,6,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,6,0,3,0,0,0,20,38,93,59,22,15,7,3,0,240,0,7,4,6,0,0,0,0,10,0,10,0,3,0,0,0,0,16,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,9,5,0,0,0,0,0,22,0,3,0,0,0,0,0,0,14,10,31
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100224,4,3,0,0,0,0,0,0,13,10,5,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,5,0,0,0,0,0,57,3,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,4
80101100225,0,0,0,0,0,0,0,0,4,5,16,0,3,5,0,0,0,28,0,12,5,6,6,3,3,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,5,9,10,0,8,6,4,0,42,7,8,0,5,5,0,0,0,31,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,27,60,25,13,16,10,6,0,156,7,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,11,4,0,0,0,0,0,24,4,0,0,0,3,5,0,0,8,3,21
