SA1_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
80101100101,3,4,5,0,3,0,20,0,4,13,4,7,5,4,0,31,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,7,0,11,23,13,17,14,13,0,94,0,0,0,3,3,4,0,0,14,0,0,0,0,4,0,0,0,6,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,7,0,0,0,0,3,9,0,0,14,0,0,0,0,0,0,3,0,9,0,8,10,4,8,0,5,0,28,0,6,10,5,9,4,8,0,53,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,5,0,0,0,0,0,9,5,18,35,28
80101100102,3,3,3,0,0,0,14,0,0,8,4,4,3,3,0,25,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,5,17,24,25,12,20,9,3,121,0,0,5,10,3,9,3,0,36,0,0,8,10,0,3,0,0,25,0,5,0,7,0,0,0,0,15,4,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,4,0,6,0,0,4,0,0,0,21,0,0,0,4,3,5,4,0,20,0,6,3,11,7,0,0,0,29,4,0,3,11,8,4,12,0,50,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,7,8,0,3,0,0,4,3,0,21,21,27,37,53
80101100103,12,7,0,0,0,0,33,3,7,0,11,0,3,4,0,31,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,32,28,28,7,10,8,3,133,0,5,6,6,3,0,0,0,26,5,4,8,0,0,0,0,0,17,0,0,7,0,4,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,3,8,0,10,8,0,0,25,0,4,12,4,3,4,0,0,33,3,18,12,9,3,0,4,0,52,0,13,14,11,3,6,3,0,49,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,19,56,66,38
80101100104,9,7,5,0,0,0,27,0,4,11,14,8,7,9,0,47,0,0,6,0,9,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,4,0,0,0,5,8,20,38,26,38,12,12,0,158,0,7,3,6,9,11,5,0,48,0,8,3,4,3,0,0,0,20,0,3,3,4,0,0,0,0,23,0,3,3,0,5,0,0,0,10,0,0,0,0,7,0,4,0,15,0,4,5,0,0,0,3,0,20,0,4,5,6,6,4,0,0,20,0,6,10,11,7,0,0,0,39,0,5,18,20,18,16,11,0,83,0,0,7,3,3,6,0,0,25,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,3,0,0,0,13,15,45,61,52
80101100105,5,12,3,5,4,0,32,0,6,9,9,8,9,5,0,47,0,0,3,0,5,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,9,0,18,35,40,34,34,14,11,187,0,3,12,16,15,8,9,3,52,3,0,10,4,3,0,0,0,17,0,5,0,4,0,8,7,6,23,0,0,3,0,5,0,0,0,9,0,4,0,4,0,0,0,0,12,0,6,7,4,6,10,3,3,35,0,3,0,0,0,4,5,0,20,3,3,11,15,8,9,5,0,53,0,9,11,23,21,15,12,0,89,0,3,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,5,0,0,21,8,39,61,72
80101100106,11,3,5,3,0,0,30,3,9,9,4,15,4,0,0,47,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,15,11,22,32,28,35,18,14,4,162,0,6,4,0,4,6,3,0,21,0,0,5,0,8,0,0,0,14,0,9,3,4,4,5,6,0,30,0,3,4,5,3,0,0,0,10,0,0,0,3,0,0,0,0,3,0,5,3,7,5,3,0,0,20,0,0,9,3,13,6,0,0,33,0,10,9,10,8,8,5,0,58,6,10,19,17,21,11,8,0,89,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,4,8,3,0,0,0,0,17,13,48,62,53
80101100201,3,5,4,6,0,0,31,8,0,3,5,3,0,0,0,23,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,9,12,47,22,20,13,4,6,0,129,0,3,5,4,0,0,0,0,14,0,11,7,4,3,0,0,0,27,3,5,0,5,0,0,0,0,19,0,4,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,11,9,0,0,5,0,0,31,0,5,0,5,3,0,6,0,17,4,17,12,5,5,6,0,0,47,8,14,10,13,9,3,0,0,48,3,4,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,5,4,4,5,0,0,27,26,97,55,38
80101100202,10,0,0,0,0,0,19,0,5,11,7,0,0,0,0,23,0,0,3,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,11,8,39,33,7,10,7,3,4,109,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,14,0,9,9,0,0,0,3,0,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,18,0,3,9,0,4,5,0,0,15,0,13,13,4,0,0,0,0,37,4,18,10,10,0,0,0,0,45,0,4,5,0,0,0,0,0,8,0,5,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,4,0,0,0,23,16,66,61,22
80101100203,13,0,3,0,4,0,64,12,25,16,12,0,0,0,0,69,0,7,7,3,0,0,0,0,15,4,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,12,0,5,0,0,0,0,0,0,17,49,142,51,19,19,6,8,0,291,3,18,7,3,0,0,0,0,34,8,32,14,3,5,0,0,0,67,3,23,3,0,3,0,0,0,40,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,17,24,10,6,3,0,3,0,66,0,12,6,0,0,3,0,0,24,14,67,24,10,4,0,4,0,123,12,54,24,17,0,5,0,0,112,0,9,3,0,0,0,0,0,22,5,6,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,10,3,8,7,0,0,0,0,0,24,81,264,115,43
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,6,0,0,0,0,21,0,20,4,7,4,5,0,0,43,0,6,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,15,49,27,22,8,14,5,0,137,0,7,9,3,0,0,0,0,17,3,3,0,9,3,3,0,0,23,0,3,9,8,0,0,0,0,17,0,4,0,0,3,0,0,0,7,0,3,0,0,3,4,0,0,11,4,9,10,3,3,0,0,0,33,0,3,5,0,0,3,0,0,20,3,15,10,8,3,0,0,0,40,0,23,12,13,4,3,0,0,57,0,7,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,21,85,56,47
80101100209,6,3,0,0,0,0,27,0,11,0,3,0,3,0,0,23,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,8,46,12,7,4,3,0,0,91,0,6,0,0,0,0,0,0,10,6,3,0,4,0,0,0,0,14,0,5,4,0,0,0,0,0,12,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,15,0,0,3,0,0,0,0,0,5,6,14,3,4,3,0,0,0,35,3,17,6,11,3,0,0,0,39,0,4,0,0,0,0,0,0,8,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,4,3,0,0,0,13,17,80,32,26
80101100210,6,5,8,0,0,0,20,7,10,0,0,8,3,0,0,25,0,3,3,0,0,0,0,0,4,0,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,12,12,37,27,16,20,13,7,0,120,0,8,0,0,0,0,0,0,13,0,3,10,3,4,0,0,0,29,0,3,0,3,0,3,5,0,20,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,7,10,0,3,4,0,0,32,0,0,5,5,3,7,4,0,21,0,13,12,5,8,0,4,0,38,5,17,10,8,8,10,0,0,45,0,4,3,0,0,0,0,0,10,0,5,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,3,3,0,0,20,20,65,51,31
80101100211,12,0,0,0,0,0,32,5,12,13,3,4,0,0,0,31,0,5,0,0,4,0,0,0,10,6,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,9,0,0,0,3,0,19,29,72,39,13,10,9,6,0,178,4,10,0,3,0,4,0,0,16,8,19,9,4,0,0,0,0,47,0,11,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,3,17,4,7,5,0,0,0,31,3,13,8,0,0,4,3,0,26,0,47,22,0,3,4,0,0,72,7,25,17,12,9,0,0,0,60,0,3,0,6,4,0,0,0,12,3,10,4,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,12,7,6,16,3,0,0,3,0,32,39,161,80,33
80101100212,8,4,0,6,13,14,45,0,0,6,0,0,5,9,8,30,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,9,24,8,26,23,10,10,23,54,48,198,0,0,4,0,0,0,11,9,21,7,13,3,0,5,0,0,0,27,0,3,0,0,0,3,5,15,39,0,4,4,0,0,5,0,0,15,0,0,0,0,0,0,0,4,4,0,6,3,0,0,3,11,5,30,0,0,0,3,0,6,14,10,38,0,3,11,3,8,6,15,16,61,6,8,10,4,0,8,20,14,64,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,4,6,16,37,17,50,43,17
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0
80101100215,4,0,5,0,0,0,64,5,14,7,4,6,0,0,0,41,0,4,3,0,0,0,0,0,14,3,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,41,119,29,11,5,6,0,0,201,3,7,5,0,0,0,0,0,14,7,43,6,0,0,0,0,0,51,6,16,4,3,0,0,0,0,26,4,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,24,3,4,0,0,0,0,36,3,14,3,0,0,4,0,0,17,13,71,16,3,5,0,0,0,112,11,40,15,5,6,3,4,0,80,3,10,3,0,0,0,0,0,20,7,8,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,20,3,0,0,0,0,0,31,59,252,63,21
80101100216,10,10,3,0,0,0,175,30,37,13,10,6,0,0,0,94,5,20,8,0,0,0,0,0,30,3,15,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,14,27,4,3,0,0,0,0,53,132,365,41,25,13,7,0,0,578,13,18,5,0,0,0,0,0,36,52,116,5,0,5,0,0,0,171,6,59,8,0,0,0,0,0,77,7,27,4,0,0,0,0,0,43,0,7,0,0,0,0,0,0,7,18,46,8,5,0,0,0,0,79,6,27,4,0,5,0,0,0,36,45,205,21,11,8,3,0,0,294,38,65,18,10,6,0,0,0,142,5,30,9,4,0,0,0,0,49,6,28,8,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,5,9,3,0,0,0,0,0,15,35,66,3,15,0,0,0,0,121,235,703,94,51
80101100217,10,0,5,0,0,0,42,5,18,5,3,0,3,0,0,32,0,9,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,17,28,72,24,12,12,9,0,0,155,3,11,3,0,4,0,4,0,21,4,33,7,5,4,0,0,0,46,0,3,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,4,0,3,0,0,0,19,0,0,5,4,0,0,0,0,19,5,36,15,8,5,5,0,0,69,7,26,7,8,6,3,0,0,54,0,5,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,3,3,0,0,0,0,34,37,155,49,22
80101100218,18,5,0,0,0,0,63,10,26,3,5,5,0,0,0,46,0,6,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,3,0,0,0,0,14,27,115,42,16,12,3,0,0,222,5,21,3,5,0,0,0,0,31,4,37,12,0,6,0,0,0,54,0,20,9,0,0,0,0,0,34,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,12,6,5,0,0,0,0,36,0,12,9,0,0,0,0,0,20,4,50,29,7,3,3,0,0,93,14,49,14,9,5,0,0,0,83,6,4,0,6,0,0,0,0,15,0,5,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,5,9,6,5,0,0,0,0,28,53,224,94,31
80101100219,9,0,0,0,0,0,40,0,27,14,0,0,0,0,0,41,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,8,20,77,30,8,3,0,0,0,140,4,5,0,0,4,4,0,0,15,3,18,7,0,0,0,0,0,25,0,6,8,0,0,0,0,0,19,0,8,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,18,9,0,0,0,0,0,33,0,3,3,0,0,0,0,0,9,9,54,13,0,0,0,0,0,76,4,41,14,0,3,0,0,0,66,0,7,0,0,3,0,0,0,14,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,9,3,0,0,0,0,0,17,35,174,68,13
80101100220,12,0,0,0,0,0,20,3,10,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,13,40,22,13,0,0,0,0,88,0,5,5,3,0,0,0,0,11,0,8,5,0,0,0,0,0,19,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,19,7,4,3,0,0,0,0,0,13,4,10,10,3,0,0,0,0,33,3,13,12,5,0,0,0,0,32,0,4,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,10,16,80,53,17
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
80101100222,14,3,0,0,4,0,59,9,16,10,9,0,0,0,0,49,4,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,36,107,42,11,9,0,4,3,207,4,11,9,6,0,0,0,0,24,8,22,14,8,0,0,0,0,49,3,22,3,5,0,0,0,0,28,4,0,0,0,3,0,0,0,11,0,5,0,0,0,0,0,0,5,6,21,11,0,0,0,5,0,42,0,4,3,0,0,0,0,0,21,13,54,32,13,5,6,3,3,122,12,37,23,8,0,0,0,0,81,4,15,3,0,0,0,0,0,24,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,11,9,0,3,0,0,0,29,70,198,96,37
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0
80101100224,0,0,0,0,0,0,8,7,5,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,38,23,0,0,0,0,0,0,63,5,6,0,0,0,0,0,0,18,10,5,0,0,0,0,0,0,17,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,6,11,7,0,0,0,0,0,0,17,12,10,0,0,0,0,0,0,22,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,60,43,3,0
80101100225,7,3,3,0,0,0,46,8,6,7,0,0,0,0,0,25,0,8,3,0,0,0,0,0,10,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,9,28,59,28,9,11,3,0,0,144,6,4,0,0,0,0,0,0,13,5,17,3,3,5,0,0,0,27,0,13,5,6,6,3,3,0,26,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,12,3,0,0,0,0,0,33,4,0,0,0,3,3,0,0,13,7,32,18,6,9,6,4,0,87,14,13,11,6,3,0,0,0,55,0,11,3,0,0,0,0,0,14,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,6,4,0,0,0,0,0,15,56,124,54,22
