SA1_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
80101100101,0,0,0,0,0,0,0,0,0,0,4,13,16,5,7,13,0,4,0,58,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,5,0,7,0,27,0,0,0,0,0,0,0,0,0,4,4,0,0,5,10,3,3,3,0,27,0,3,5,0,0,3,0,5,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
80101100102,0,0,0,0,0,0,0,0,0,0,8,15,9,16,15,21,4,9,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,4,3,10,5,0,0,32,0,0,0,0,0,4,0,0,0,4,4,0,5,10,17,13,5,9,0,65,0,7,6,0,5,6,7,11,0,32,0,0,3,6,8,3,0,0,0,25,0,3,6,0,0,0,3,0,0,10
80101100103,0,0,0,0,0,0,0,0,0,3,3,20,12,14,23,24,3,15,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,16,0,0,5,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,3,0,0,6,5,0,3,0,25,0,3,0,0,0,4,0,0,0,5,3,3,0,4,13,9,7,7,0,49,0,4,0,0,3,8,0,6,0,28,0,7,0,3,6,9,0,9,0,28,0,0,3,0,0,0,0,0,0,12
80101100104,0,0,0,0,0,0,0,0,0,0,4,28,10,13,26,22,10,16,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,0,0,0,3,8,7,0,3,0,32,0,0,0,0,0,3,0,0,0,6,12,3,3,5,15,21,6,15,0,76,4,8,5,4,9,5,4,10,0,47,0,0,4,0,9,4,0,3,0,19,0,0,0,0,5,0,0,0,0,4
80101100105,0,0,0,0,0,0,0,0,0,0,8,19,33,16,31,20,8,5,0,138,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,4,3,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,8,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,3,6,10,8,6,0,36,0,5,0,0,0,0,0,0,0,3,0,0,10,8,23,24,12,6,0,85,0,4,7,3,6,4,4,12,0,43,5,7,4,0,5,4,0,0,0,26,0,0,3,0,6,4,0,0,0,7
80101100106,0,0,0,0,0,0,0,0,0,0,3,14,17,13,30,26,3,9,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,0,12,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,12,4,7,0,34,0,0,0,0,0,4,0,0,0,3,5,6,3,4,24,29,8,11,0,82,0,0,3,5,8,3,0,7,0,29,0,4,3,0,0,3,4,0,0,18,0,3,0,0,0,0,0,0,0,3
80101100201,0,0,0,0,0,0,0,0,0,0,4,17,22,9,24,10,0,5,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,3,5,9,5,4,0,0,0,0,0,27,0,0,7,0,5,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,5,0,0,0,25,0,0,4,0,0,0,0,0,0,5,5,6,0,0,15,11,10,0,0,45,0,5,7,4,9,9,0,3,0,28,0,10,5,8,12,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0
80101100202,0,0,0,0,0,0,0,0,0,0,3,15,13,12,24,13,7,6,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,5,0,24,4,6,0,0,4,3,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,4,0,0,28,0,0,3,0,0,0,0,0,0,11,0,0,0,0,19,0,0,0,0,32,0,6,5,3,7,0,0,4,0,17,5,4,6,8,4,8,0,0,0,33,0,0,0,0,0,0,0,0,0,4
80101100203,0,0,4,0,0,0,0,0,0,9,4,34,35,21,100,55,9,17,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,5,0,8,15,5,20,4,0,4,0,51,0,6,12,6,16,8,4,0,0,61,0,0,0,0,4,3,0,5,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,4,0,9,0,4,6,0,19,18,3,0,0,54,3,4,0,0,10,5,0,0,0,13,7,6,0,4,79,41,13,10,0,152,0,4,3,4,9,0,6,3,0,32,3,10,8,5,31,11,0,8,0,86,0,3,0,0,4,3,0,0,0,18
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,0,0,0,0,0,0,0,0,7,17,19,12,33,17,11,6,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,10,6,0,8,3,0,0,3,17,0,4,0,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,8,0,0,0,25,0,4,5,0,0,0,0,0,0,7,4,0,7,3,17,15,11,4,0,58,4,7,0,3,11,7,0,0,0,34,3,9,4,8,7,10,3,4,0,44,0,0,0,0,0,0,0,0,0,0
80101100209,0,0,0,0,0,0,0,0,0,0,9,13,15,3,15,7,0,4,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,0,0,0,23,4,8,7,5,6,4,0,0,0,30,0,0,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,5,0,4,0,0,0,0,15,0,0,0,0,11,4,4,0,0,18,0,0,0,0,4,4,0,0,0,11,0,6,3,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0
80101100210,0,0,0,0,0,0,0,0,0,0,6,6,17,3,27,23,4,11,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,0,0,0,0,14,0,3,6,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,7,0,5,0,30,0,0,0,0,0,0,0,0,0,5,4,0,3,4,13,13,0,3,0,45,0,0,0,0,3,4,0,3,0,17,0,3,8,0,9,9,0,0,0,32,0,0,0,0,0,0,0,0,0,5
80101100211,0,0,0,0,0,0,0,0,3,0,9,20,21,13,49,24,5,11,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,10,4,8,14,3,0,0,0,38,5,8,12,0,8,0,4,6,0,40,0,3,4,0,3,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,11,8,5,4,0,28,0,3,0,0,0,5,0,0,0,13,0,0,4,7,28,24,4,9,0,74,0,8,3,0,10,8,0,6,0,28,4,8,10,9,11,5,4,0,0,57,0,0,0,3,0,0,0,0,0,4
80101100212,0,0,0,0,0,0,0,0,0,0,4,8,12,3,15,10,4,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,7,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,6,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,0,4,0,27,0,0,5,0,0,0,0,0,0,5,0,0,0,0,15,7,3,7,0,28,0,3,0,0,0,3,0,0,0,13,0,0,0,0,7,0,0,0,0,16,0,0,0,0,4,0,0,0,0,4
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
80101100215,0,0,0,0,0,0,0,0,0,9,5,17,34,12,62,36,11,5,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,10,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,9,0,9,4,0,0,0,35,3,7,7,6,14,6,7,0,0,44,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,5,4,24,24,0,0,0,56,0,3,0,0,0,7,0,0,0,11,7,0,5,5,40,30,3,3,0,98,0,14,6,0,10,3,0,0,0,33,4,3,5,8,14,7,0,6,0,43,0,0,4,0,0,0,0,0,0,3
80101100216,0,0,3,0,7,0,0,0,3,19,13,64,76,30,171,85,6,19,12,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,3,0,0,3,0,0,0,0,6,4,4,7,5,12,27,5,12,0,63,0,0,0,0,8,3,0,0,0,10,0,16,30,17,30,12,3,3,5,112,4,31,33,7,46,24,4,3,0,163,3,0,9,0,8,9,4,4,0,32,0,0,0,0,13,4,0,0,0,16,0,0,0,0,12,0,0,0,0,19,0,0,0,0,10,6,4,0,0,15,3,4,9,7,51,37,3,5,0,116,0,0,3,0,9,6,0,0,0,30,4,0,0,5,65,47,9,7,0,145,0,17,9,4,24,5,0,5,0,61,3,9,20,9,27,21,8,5,0,102,0,0,0,0,4,0,0,0,0,12
80101100217,0,0,0,0,0,0,0,0,0,3,8,12,17,11,36,29,10,9,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,3,0,0,0,25,0,6,11,3,6,9,0,0,0,41,0,0,0,0,0,3,0,0,0,5,0,6,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,9,20,0,0,0,38,0,0,0,0,0,0,0,0,0,6,4,4,0,0,28,15,7,3,0,66,0,0,0,0,4,4,0,6,0,15,0,3,5,3,7,11,3,5,0,32,0,0,0,0,4,0,0,0,0,8
80101100218,0,0,0,0,0,0,0,0,0,0,11,20,22,16,71,36,8,10,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6,0,3,0,11,0,0,0,0,0,0,0,0,0,5,3,8,12,6,15,0,0,5,0,48,5,6,13,3,6,3,0,0,0,41,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,3,3,0,17,19,0,0,0,55,0,0,0,0,8,0,0,0,0,4,6,0,5,0,46,28,3,5,0,100,4,5,0,0,13,8,4,4,0,39,0,7,0,4,14,13,0,5,0,50,0,0,0,0,3,0,0,3,0,9
80101100219,0,0,0,0,0,0,0,0,0,5,6,21,16,10,41,24,13,4,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,4,5,6,0,16,0,0,0,0,0,0,0,0,0,0,0,5,3,0,11,0,0,0,0,27,0,0,7,0,10,6,0,3,0,24,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,6,14,11,5,3,0,48,0,3,3,0,0,0,0,0,0,10,4,0,3,0,37,25,3,13,0,84,0,0,4,3,9,7,5,3,0,32,0,4,4,3,12,12,0,0,0,28,0,3,0,0,0,0,0,0,0,3
80101100220,0,0,0,0,0,0,0,0,0,0,0,10,15,7,28,14,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,10,0,0,5,0,6,0,0,4,0,16,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5,4,19,16,0,5,0,44,0,0,3,3,4,0,0,0,0,18,0,5,5,0,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,3
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,0,0,0,0,0,0,0,0,0,0,3,17,17,19,63,41,10,4,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,6,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,9,0,17,3,4,0,0,36,0,3,3,3,3,5,7,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,5,21,29,5,3,0,64,0,0,4,6,0,4,0,0,0,10,7,4,7,6,43,36,11,10,0,100,0,3,0,0,3,5,0,6,0,26,0,0,14,5,15,12,0,8,0,51,0,0,0,0,4,0,0,0,0,9
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100224,0,0,0,0,0,0,0,0,0,0,6,34,25,0,15,3,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,5,0,0,0,0,34,5,20,8,0,3,0,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,13,3,0,0,0,0,0,0,13,4,5,5,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3
80101100225,0,0,0,3,0,0,0,0,0,7,11,15,22,9,45,23,0,8,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,14,0,0,0,0,0,0,0,0,0,0,6,5,0,5,9,0,0,0,0,20,0,10,7,3,4,0,0,3,0,29,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,18,9,0,0,0,39,0,0,0,0,3,3,0,0,0,9,6,3,0,5,15,27,3,12,0,67,0,0,0,0,11,6,0,0,0,21,0,0,4,3,3,14,0,6,0,24,0,0,0,0,3,0,0,0,0,5
80101100301,0,0,0,0,0,0,0,0,0,0,6,18,21,8,42,24,4,9,4,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,6,0,4,0,0,0,0,17,0,0,13,0,15,5,0,5,0,32,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,3,4,4,9,9,4,3,0,37,0,0,0,3,0,0,0,0,0,6,4,0,8,0,33,22,0,8,0,81,0,5,4,0,11,4,3,7,0,30,4,4,8,0,9,10,0,6,0,37,0,0,5,0,0,0,0,0,0,11
